Question_num,Question_Chinese,Question_English,SubQuestion_num,SubQuestion_Chinese,SubQuestion_English,count_yes,count_1,count_2,count_3,count_4,count_5,mean,std
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,10,人工智能（时空人工智能）,(Geospatial) Artificial intelligence,,3,2,17,21,38,4.099,1.056
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,11,"计算机视觉（点云分析，同时定位和建图（Simultaneous localization and mapping, SLAM等）","Computer vision (point cloud analysis, Simultaneous localization and mapping (SLAM), etc.).",,5,9,25,14,28,3.63,1.239
12,在您选择留学院校和专业的过程中，以下院校所在国家有关的因素是否影响了您的决策，重要性如何？,"Did the following destination country-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,留学国家的所在大洲,The continent of the destination country,,0,5,14,39,23,3.988,0.844
12,在您选择留学院校和专业的过程中，以下院校所在国家有关的因素是否影响了您的决策，重要性如何？,"Did the following destination country-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,留学国家的官方语言,The official language of the destination country,,0,1,15,28,37,4.247,0.799
12,在您选择留学院校和专业的过程中，以下院校所在国家有关的因素是否影响了您的决策，重要性如何？,"Did the following destination country-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,留学国家的政局稳定,The political stability of the destination country,,0,3,7,37,34,4.259,0.771
12,在您选择留学院校和专业的过程中，以下院校所在国家有关的因素是否影响了您的决策，重要性如何？,"Did the following destination country-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,留学国家的签证政策,The visa policy of the destination country,,0,4,23,37,17,3.827,0.818
12,在您选择留学院校和专业的过程中，以下院校所在国家有关的因素是否影响了您的决策，重要性如何？,"Did the following destination country-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,（除签证因素外）留学国家与中国的政治关系,The political relationship between the destination country and China (Except for the visa issues) ,,3,2,25,34,17,3.741,0.946
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,留学城市的气候,The climate of the destination city,,3,15,33,23,7,3.198,0.967
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,留学城市及周边的自然风光,The natural scenery of the destination city,,2,16,35,20,8,3.198,0.954
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,留学城市的生活成本,The living cost of the destination city,,0,4,23,41,13,3.778,0.775
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,留学城市的治安状况,The security of the destination city,,1,1,5,39,35,4.309,0.752
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,留学城市的医疗条件,The healthcare resources of the destination city,,0,12,28,37,4,3.407,0.803
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,留学城市与中国的交通便捷性,The transportation convenience between the destination city and mainland China,,3,13,33,25,7,3.247,0.956
13,在您选择留学院校和专业的过程中，以下与院校所在城市有关的因素是否影响了您的决策，重要性如何?,"Did the following destination city-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,留学城市的国内/国际（除中国外）的交通便捷性,The domestic and international transportation convenience of the destination city (Except for the mainland China),,3,16,30,25,7,3.21,0.984
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,学校周边的交通便捷性,The transportation accessibility of the nearby regions of the target university,,3,12,29,34,3,3.272,0.895
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,学校靠近大都会地区或靠近大城市,The target university locate in or close to metropolitan areas,,4,10,23,29,15,3.506,1.085
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,学校周边的实习和工作机会,The internship and employment opportunities in the nearby regions of the target university,,2,10,11,38,20,3.79,1.033
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,学校周边的华人商家数量（华人超市，华人餐厅等）,"The number of Chinese businesses (e.g., Chinese markets, Chinese restaurants) in the nearby regions of the target university",,8,26,28,17,2,2.741,0.985
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,学生宿舍,The quality of the student dormitory of the target university,,9,19,18,24,11,3.111,1.235
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,学校或所在城市临近中国使领馆,The target university locate close to the Chinese embassy,,9,31,26,12,3,2.617,0.995
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,学校或所在城市临近我感兴趣的体育赛事场馆（如NBA球场）,The target university locate close to the sports stadiums (such as an NBA stadium) which I am interested in,,26,29,16,9,1,2.136,1.034
14,在您选择留学院校和专业的过程中，以下与院校周边有关的因素是否影响了您的决策，重要性如何?,"Did the following school-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",8,学校或所在城市临近我感兴趣的文化场所（如博物馆，剧院）,"The target university locate in or close to the cultural facilities (such as museums, theaters) which I am interested in",,15,14,22,22,8,2.926,1.263
15,在您选择留学院校和专业的过程中，以下与留学生活有关的因素是否影响了您的决策，重要性如何?,"Did the following school life-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,学校提供丰富的本学科的讲座等学术活动,The university provides a wide range of academic activities such as public lectures in the field,,2,10,15,36,18,3.716,1.028
15,在您选择留学院校和专业的过程中，以下与留学生活有关的因素是否影响了您的决策，重要性如何?,"Did the following school life-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,学校提供丰富的跨学科的讲座等学术活动,The university provides a wide range of academic activities such as interdisciplinary lectures,,2,12,21,35,11,3.506,0.989
15,在您选择留学院校和专业的过程中，以下与留学生活有关的因素是否影响了您的决策，重要性如何?,"Did the following school life-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,学校无论在哪里，本题请选择2*,"Please select ""Less Important"" for this question*",,0,81,0,0,0,2,0
15,在您选择留学院校和专业的过程中，以下与留学生活有关的因素是否影响了您的决策，重要性如何?,"Did the following school life-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,学校有丰富的或符合我兴趣的社团或学生课外活动,The university has a wide range of clubs or activities that fit my interests,,7,29,26,18,1,2.716,0.952
15,在您选择留学院校和专业的过程中，以下与留学生活有关的因素是否影响了您的决策，重要性如何?,"Did the following school life-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,学校男女比例均衡,The university has a balanced gender ratio,,15,37,22,4,3,2.296,0.955
16,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",1,我希望同学们有和我相似的学科背景，这样有利于在本领域深入钻研 ,"I hope my classmates have a similar academic background as me, which is helpful for deeper communication in this field",,3,8,33,33,4,3.333,0.866
16,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",2,我希望同学们有丰富的多学科背景，这样有利于多学科思维的碰撞和创新 ,"I hope my classmates have a multidisciplinary background, which is helpful for brainstorming and innovation",,0,1,10,53,17,4.062,0.619
16,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",3,我希望专业内有较多的华人同学 ,I hope there are more Chinese classmates,,7,22,39,11,2,2.741,0.891
16,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",4,我希望专业内只有极少的华人同学,I hope there are fewer Chinese classmates,,5,22,40,11,3,2.815,0.882
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",1,综合排名,The overall ranking of the university,,26,15,10,9,6,2.303,1.358
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",2,专业排名,The ranking of the program in the field,,5,19,8,15,4,2.882,1.177
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",3,留学开销,Total expenses of study abroad,,4,6,11,9,8,3.289,1.271
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",4,专业课程设置,Course design,,6,17,18,8,10,2.983,1.239
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",5,未来去向,Future career development,,15,6,11,9,15,3.054,1.566
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",6,校友情况,Alumni and connections,,1,0,1,2,8,4.333,1.231
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",7,学校的地理位置,Location of the university,,2,4,7,14,8,3.629,1.14
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",8,留学时间成本,Time cost of the oversea study program,,3,6,7,9,11,3.528,1.32
17,请对以下选项的重要性排序,"Please select the most 5 important factors, and rank them in order of importance with #1 being the most important object to #5 being the least important object",9,导师/学校师资力量,Faculty,,19,8,8,6,11,2.654,1.583
18,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",1,在选择院校和申请时，我希望在毕业后进入工业界,I want to enter the industry after graduation when I do the program selection and application,,3,14,28,29,7,3.284,0.978
18,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",2,在选择院校和申请时，我希望在毕业后留在学术界（包括读二硕、读博、寻找博后或教职）,I want to deep in academia after graduation (including pursue a second master's degree; PhD; post-Doctoral; or teaching position) when I do the program selection and application.,,2,16,19,25,19,3.531,1.13
19,（对于申请硕士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Master's program) Please rate the following choice of destination after graduation on a scale from 1 to 5, with 1 being the highest priority.",1,在留学国家工作,Work in the destination country,,20,25,8,11,5,2.362,1.26
19,（对于申请硕士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Master's program) Please rate the following choice of destination after graduation on a scale from 1 to 5, with 1 being the highest priority.",2,在其他海外国家工作,Work in another overseas country,,1,10,21,13,14,3.855,1.342
19,（对于申请硕士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Master's program) Please rate the following choice of destination after graduation on a scale from 1 to 5, with 1 being the highest priority.",3,回到中国工作,Return and work in China,,15,10,13,12,12,3.246,1.666
19,（对于申请硕士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Master's program) Please rate the following choice of destination after graduation on a scale from 1 to 5, with 1 being the highest priority.",4,在海外读博,Pursue a Ph.D. degree in abroad,,26,9,14,11,7,2.565,1.519
19,（对于申请硕士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Master's program) Please rate the following choice of destination after graduation on a scale from 1 to 5, with 1 being the highest priority.",5,回到中国读博,Pursue a Ph.D. degree in China,,5,10,6,7,19,4.319,1.676
19,（对于申请硕士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Master's program) Please rate the following choice of destination after graduation on a scale from 1 to 5, with 1 being the highest priority.",6,读二硕,Pursue another master's degree,,2,5,7,15,12,4.652,1.433
20,（对于申请博士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Doctoral program) Please rate the following choice of destination after graduation on a scale from 1to 5, with 1 being the highest priority.",1,进入工业界，在留学国家工作,Work in industry in the destination country,,3,7,7,3,1,2.619,1.071
20,（对于申请博士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Doctoral program) Please rate the following choice of destination after graduation on a scale from 1to 5, with 1 being the highest priority.",2,进入工业界，在其他海外国家工作,Work in industry in another overseas country,,0,2,7,4,8,3.857,1.062
20,（对于申请博士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Doctoral program) Please rate the following choice of destination after graduation on a scale from 1to 5, with 1 being the highest priority.",3,进入工业界，回到中国工作,Work in industry and return to China,,3,0,2,5,11,4,1.414
20,（对于申请博士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Doctoral program) Please rate the following choice of destination after graduation on a scale from 1to 5, with 1 being the highest priority.",4,进入学术界，在海外做博后或教职,Work in academia as a postdoc or faculty in oversea countries,,12,4,2,2,1,1.857,1.236
20,（对于申请博士）请对毕业后去向选择的优先级排序 ,"(If you are applying for a Doctoral program) Please rate the following choice of destination after graduation on a scale from 1to 5, with 1 being the highest priority.",5,进入学术界，回到中国做博后或教职,Work in academia as a postdoc or faculty in China,,3,8,3,7,0,2.667,1.111
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,该学科相关的工作符合我的兴趣,The future job in this field fits my interests,,0,0,11,41,26,4.192,0.666
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,该学科相关工作领域的整体发展前景,The overall prospects of this field in industry,,0,0,10,38,30,4.256,0.673
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,毕业后，在所留学国家或地区找工作的难度,The opportunity of finding jobs in the destination country or region,,3,8,16,35,13,3.627,1.024
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,毕业后，在所留学国家或地区工作的待遇（如薪资）,The average salary of jobs in the destination country or region,,3,7,15,32,18,3.733,1.057
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,毕业后，回国找体制外的工作的难度,The opportunity of finding jobs in private sectors in China,,2,11,17,29,16,3.613,1.064
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,毕业后，回国找体制外的工作的待遇,The average salary of jobs in private sectors in China,,1,8,13,36,18,3.816,0.962
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,毕业后，回国找体制内的工作的难度,The opportunity of finding jobs in public institutions in China,,8,16,14,24,10,3.167,1.245
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",8,毕业后如果回国工作，国内同事们的海归比例,The proportion of colleagues who have study or work abroad experience,,10,23,20,17,4,2.757,1.12
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",9,在工业界的校友人脉,Alumni in industry,,1,9,13,42,12,3.714,0.916
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",10,华人校友情况,Chinese alumni in industry,,1,13,24,32,8,3.423,0.933
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",11,该学科所培训的专业知识和技能（如GIS，空间分析，地图可视化）与我的职业规划相符,"The professional knowledge and skills trained in the program (e.g., GIS, spatial analysis, mapping visualization) fit my career plan",,2,2,9,35,30,4.141,0.908
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",12,该学科所培训的通用知识和技能（如编程，数学，英语，写作和表达能力）与我的职业规划相符,"The general knowledge and skills trained in the program (e.g., programming, mathematics, English, writing and presentation skills) fit my career plan",,0,1,6,36,35,4.346,0.68
21,在您选择留学院校和专业的过程中，以下与工业界发展前景有关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to career prospects in industry influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",13,进入工业界后，在留学国家获得永久居留权或国籍的难度,"The difficulty of immigration to the destination country, i.e., obtaining permanent residence or citizenship, after working in industry",,11,9,15,27,11,3.247,1.289
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,该学科相关的研究符合我的兴趣,The research relevant to the program fits my interests,,0,1,5,39,24,4.246,0.651
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,该学科相关研究领域的整体发展前景好,The overall prospects of this field,,0,2,7,35,25,4.203,0.739
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,在学术界的校友人脉,Alumni in academia,,2,9,18,31,9,3.522,0.979
